short_name,long_name,Sub-Borough Area,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
hh_alone_pct,Single-person households,Greenwich Village/Financial District,0.545474417493097,0.514319792709176,0.547305033695011,0.521888059190245,0.541677794989584,0.493760130727567,0.534444312499175,0.54829492843726,0.52662562177864,0.486353243783938,0.501259611095074,0.451267774775512
hh_alone_pct,Single-person households,Lower East Side/Chinatown,0.483554130896664,0.473644323548915,0.483536316496611,0.447939850482223,0.480484253205037,0.45280204559983,0.437412374491949,0.476223323385326,0.469424433717044,0.503370572725543,0.466343601540912,0.50196372042926
hh_alone_pct,Single-person households,Chelsea/Clinton/Midtown,0.593787975798477,0.634421551430741,0.628683139198984,0.609702219005067,0.587134805825841,0.580454096742349,0.584756134504696,0.639594997022037,0.584913744219162,0.540948744592929,0.548358503691403,0.591151006793712
hh_alone_pct,Single-person households,Sunnyside/Woodside,0.30228527899817,0.316956017340688,0.271426264596812,0.301969546507779,0.313674145489893,0.322294681067862,0.33730558684611,0.317412390783341,0.30063502018737,0.293421477555518,0.305494179029653,0.358559449335438
hh_alone_pct,Single-person households,Jackson Heights,0.22852581709958,0.201964555827373,0.188959930299461,0.245046544282074,0.243785992940739,0.238864405817934,0.254022198922593,0.24647534530881,0.252127550497283,0.245556228404517,0.251772923906106,0.273431764417979
hh_alone_pct,Single-person households,Elmhurst/Corona,0.193355071798578,0.223841888749776,0.179602636699201,0.206690507446471,0.187314464411158,0.245972000629199,0.200570613409415,0.233096243609691,0.1665431682946,0.211799808345675,0.238060177686153,0.200602871049836
hh_alone_pct,Single-person households,Middle Village/Ridgewood,0.225737337199462,0.238602647950231,0.245518256699143,0.277464949648272,0.240395710571257,0.229440210081342,0.296037964201541,0.291232173602313,0.315910825594708,0.276249502850325,0.224099463234819,0.203102160142927
hh_alone_pct,Single-person households,Rego Park/Forest Hills,0.422372083499795,0.378541172813119,0.385706203996961,0.380772929792538,0.415544594054126,0.369176192353173,0.393346116970278,0.412777945847829,0.439340287132905,0.439504086765168,0.38741322064594,0.426625495905724
hh_alone_pct,Single-person households,Flushing/Whitestone,0.291604029698647,0.251705110189533,0.267158088099677,0.242636650075346,0.257486421944673,0.22845423488683,0.246652187547183,0.244725351547727,0.265508402164625,0.224211375916418,0.217983997780039,0.26205894957383
hh_alone_pct,Single-person households,Hillcrest/Fresh Meadows,0.315277060497465,0.291182475623485,0.286342199597129,0.278745440714662,0.296141174821253,0.284691997019958,0.304258574278134,0.262343119367502,0.29588252876999,0.267165791063355,0.271568030412076,0.281183041845985
hh_alone_pct,Single-person households,Ozone Park/Woodhaven,0.283979363597609,0.201753368740868,0.249312089499654,0.206851843712917,0.205257496302272,0.218962819804896,0.20277712302055,0.190644061507062,0.187602956705385,0.206043894954526,0.18033302622413,0.210439401039923
hh_alone_pct,Single-person households,South Ozone Park/Howard Beach,0.195691014199838,0.175212525556871,0.169103482299761,0.160047811874909,0.201554866838262,0.192717262695289,0.150095940214098,0.181496803309515,0.155925382063414,0.16479587813149,0.148438940851008,0.189378388336228
hh_alone_pct,Single-person households,Bayside/Little Neck,0.269914755997888,0.299691833590139,0.273849704899476,0.243927982530416,0.266335464611135,0.270731925155182,0.25920423417986,0.250749025703408,0.269453797231575,0.253933778506897,0.260998952480716,0.250029759779063
hh_alone_pct,Single-person households,Jamaica,0.206046952098404,0.237478684714866,0.242006590999154,0.23335636272766,0.216641411890543,0.211162804138011,0.234551351351351,0.217716986536809,0.221851646830888,0.216999786233433,0.220384009895423,0.230209959358168
hh_alone_pct,Single-person households,Queens Village,0.241661799798749,0.20313226856877,0.189066602999446,0.178513852648374,0.221814966642553,0.182876962975927,0.19785521874041,0.208892037308776,0.200839151670108,0.20054042333161,0.204239917269907,0.175395424614758
hh_alone_pct,Single-person households,Rockaways,0.293082993797725,0.284719715331855,0.323868385698006,0.358181862781171,0.312952731737262,0.304100652376514,0.288650555851138,0.257319477232349,0.31590627580512,0.371445994359326,0.271098489737963,0.304994198414233
hh_alone_pct,Single-person households,Stuyvesant Town/Turtle Bay,0.570105540296936,0.575872247029441,0.602200798493868,0.590340729650381,0.557184506455643,0.539593227338427,0.566759561073926,0.562461492034352,0.566742904667845,0.549957641899636,0.563139574445811,0.571641554740481
hh_alone_pct,Single-person households,Upper West Side,0.492572472499887,0.503771451869973,0.538398768592742,0.534501432966864,0.514421155365525,0.458706064478592,0.481725658247147,0.509313827109308,0.5310526882879,0.470456345329068,0.54262398116464,0.486724411517975
hh_alone_pct,Single-person households,Upper East Side,0.545397648093058,0.528205352075785,0.527678370795911,0.528754922105884,0.525000600494808,0.489738657819972,0.485724189517085,0.526397685313685,0.495423360683996,0.476053222800815,0.498403425378279,0.465064973499422
hh_alone_pct,Single-person households,Morningside Heights/Hamilton Heights,0.341064411397383,0.44345231660649,0.404084274698107,0.426548370585224,0.345972399806005,0.371611763013502,0.337834626104617,0.381648764074026,0.406675372391049,0.354300168634064,0.360582881073458,0.355280196472427
hh_alone_pct,Single-person households,Central Harlem,0.419254593198275,0.468771222192497,0.459252525299235,0.464635701101745,0.44924853190007,0.415450562011812,0.437208315655494,0.408553580009611,0.422407267221802,0.420387634936212,0.394935508345979,0.443324114949242
hh_alone_pct,Single-person households,East Harlem,0.420904079397587,0.359966726500591,0.414743129698763,0.372177300627392,0.386384724324852,0.391049090005871,0.363894414519121,0.379740684293067,0.449046855513985,0.383640715190764,0.407557920315053,0.363709910430511
