tax_delinquency,cartodb_id,tract_10,sba_name,ccd_name,cd_name,boro_name,city_name,bbl,ser_violation,assessed_value,owner_name,res_units,year_built,buildings,standard_address
,3464504,36005022300,Highbridge/South Concourse,City Council District 16,BX 04 - Highbridge/Concourse,Bronx,New York City,2028440038,,784350,CRENULATED COMPANY LT,59,1924,1,1450 Townsend Avenue
,3464505,36005022102,Highbridge/South Concourse,City Council District 16,BX 04 - Highbridge/Concourse,Bronx,New York City,2028400077,1,1722600,CONCOURSE GREEN ASSOC,73,1924,1,1325 Grand Concourse
,3464513,36005022300,Highbridge/South Concourse,City Council District 14,BX 04 - Highbridge/Concourse,Bronx,New York City,2028330028,,607500,STANDY ONE ASSOCIATES,26,1916,1,1411 Grand Concourse
,3464516,36005022101,Highbridge/South Concourse,City Council District 16,BX 04 - Highbridge/Concourse,Bronx,New York City,2028410025,,648000,MARCY BAER ASSOCIATES,76,1991,2,35 Marcy Place
,3464519,36005022101,Highbridge/South Concourse,City Council District 16,BX 04 - Highbridge/Concourse,Bronx,New York City,2028410014,1,623250,22-24 ELLIOT REALTYCO,50,1926,1,22 Elliot Place
,3464522,36005022101,Highbridge/South Concourse,City Council District 16,BX 04 - Highbridge/Concourse,Bronx,New York City,2028410018,1,603450,ELLIOT PLACE PROPERTI,59,1925,1,38 Elliot Place
,3464528,36005022500,Highbridge/South Concourse,City Council District 16,BX 04 - Highbridge/Concourse,Bronx,New York City,2028190001,1,2166300,"1504 SHERIDAN, LLC",108,1929,1,1504 Sheridan Avenue
,3464530,36005022102,Highbridge/South Concourse,City Council District 16,BX 04 - Highbridge/Concourse,Bronx,New York City,2028390053,1,1129950,SENIOR LIVING OPTIONS,64,2004,1,128 Clarke Place East
,3464539,36005022102,Highbridge/South Concourse,City Council District 16,BX 04 - Highbridge/Concourse,Bronx,New York City,2028420059,1,889650,1401 GRAND CONCOURSE,60,1923,1,1401 Grand Concourse
,3464541,36005022702,University Heights/Fordham,City Council District 14,BX 04 - Highbridge/Concourse,Bronx,New York City,2028380004,,595350,"CRENULATED COMPANY,LT",52,1926,1,1612 Walton Avenue
,3464545,36005022101,Highbridge/South Concourse,City Council District 16,BX 04 - Highbridge/Concourse,Bronx,New York City,2028420033,1,496800,CITYWIDE PRESERVATION,51,1925,1,15 Elliot Place
,3464568,36005022500,Highbridge/South Concourse,City Council District 16,BX 04 - Highbridge/Concourse,Bronx,New York City,2027860010,,406350,1420/1426 MORRIS AVEN,17,1927,1,1426 Morris Avenue
,3464569,36005021700,University Heights/Fordham,City Council District 14,BX 05 - Fordham/University Heights,Bronx,New York City,2028610010,,378000,TPT DAVIDSON AVENUE L,16,1925,1,1664 Davidson Avenue
,3464574,36005021700,University Heights/Fordham,City Council District 14,BX 05 - Fordham/University Heights,Bronx,New York City,2028610114,,1431000,HP DAVIDSON CLUSTER H,65,1927,1,1770 Davidson Avenue
,3464580,36005021502,University Heights/Fordham,City Council District 14,BX 05 - Fordham/University Heights,Bronx,New York City,2028760184,1,284400,"MONTMAC DEVELOPER, L.",20,1924,1,1669 Macombs Road
,3464583,36005022300,Highbridge/South Concourse,City Council District 14,BX 04 - Highbridge/Concourse,Bronx,New York City,2028430079,1,933750,CRENULATED COMPANY,68,1924,1,1424 Walton Avenue
,3464584,36005022300,Highbridge/South Concourse,City Council District 14,BX 04 - Highbridge/Concourse,Bronx,New York City,2028440095,1,689850,MARWYTE REALTY ASSOCT,73,1929,1,1475 Wythe Place
,3464593,36005021502,University Heights/Fordham,City Council District 14,BX 05 - Fordham/University Heights,Bronx,New York City,2028660086,,454050,MORRIS HEIGHTS HOUSIN,21,1923,1,47 West 175 Street
,3464602,36005021502,University Heights/Fordham,City Council District 14,BX 05 - Fordham/University Heights,Bronx,New York City,2028660034,,1278450,MACOMB VILLAGE ASSOC,65,1926,1,1674 Macombs Road
,3464604,36005021502,University Heights/Fordham,City Council District 14,BX 05 - Fordham/University Heights,Bronx,New York City,2028760185,,465750,"MONTMAC DEVELOPER, L.",31,1927,1,1665 Macombs Road
,3464607,36005021502,University Heights/Fordham,City Council District 14,BX 05 - Fordham/University Heights,Bronx,New York City,2028760131,1,795150,1715 NELSON AVE HOUSI,48,1927,1,1713 Nelson Avenue
,3464610,36005022701,University Heights/Fordham,City Council District 14,BX 05 - Fordham/University Heights,Bronx,New York City,2028500052,,1485000,1791 WALTON AVENUE LL,49,2003,1,1791 Walton Avenue
,3464611,36005021502,University Heights/Fordham,City Council District 14,BX 05 - Fordham/University Heights,Bronx,New York City,2028660072,,330750,SERE HOUSING DEVELOPM,20,1920,1,66 West 176 Street
1,3464612,36005022701,University Heights/Fordham,City Council District 14,BX 05 - Fordham/University Heights,Bronx,New York City,2028500040,,780750,SERE HOUSING DEVELOPM,57,1925,1,1770 Townsend Avenue
,3464616,36005021502,University Heights/Fordham,City Council District 14,BX 05 - Fordham/University Heights,Bronx,New York City,2028760194,,903150,UNIMAC DEVELOPER LP,48,1925,1,1645 Macombs Road
,3464629,36005022300,Highbridge/South Concourse,City Council District 14,BX 04 - Highbridge/Concourse,Bronx,New York City,2028330030,,612900,STANDY ONE ASSOCIATES,29,1916,1,1403 Grand Concourse
,3464642,36005023301,University Heights/Fordham,City Council District 14,BX 05 - Fordham/University Heights,Bronx,New York City,2028270060,1,574200,MT. HOPE PLACE PRPRTS,62,1941,1,57 Mt Hope Place
,3464643,36005020900,Highbridge/South Concourse,City Council District 14,BX 04 - Highbridge/Concourse,Bronx,New York City,2028450017,1,620100,"CRENULATED COMPANY,LT",55,1926,1,1530 Townsend Avenue
,3464669,36005017902,Highbridge/South Concourse,City Council District 16,BX 04 - Highbridge/Concourse,Bronx,New York City,2028300030,,483750,1368 S LLC,22,1924,1,1368 Sheridan Avenue
1,3464673,36005022701,University Heights/Fordham,City Council District 14,BX 05 - Fordham/University Heights,Bronx,New York City,2028260024,1,646200,PLOVER HOUSING DEVELO,38,1924,1,110 East 176 Street
1,3464693,36005021501,University Heights/Fordham,City Council District 14,BX 05 - Fordham/University Heights,Bronx,New York City,2028780169,,886500,ARISTA UAC PROPERTIES,66,1928,1,1705 Andrews Avenue South
,3464696,36005021501,University Heights/Fordham,City Council District 14,BX 05 - Fordham/University Heights,Bronx,New York City,2028780156,1,1483200,ANDREWS PLAZA HOUSING,84,1930,1,1725 Andrews Avenue South
,3464698,36005024501,University Heights/Fordham,City Council District 14,BX 05 - Fordham/University Heights,Bronx,New York City,2028790149,1,504000,ANDREWS PLAZA HOUSING,46,1928,1,1840 Sedgwick Avenue
,3464700,36005021501,University Heights/Fordham,City Council District 14,BX 05 - Fordham/University Heights,Bronx,New York City,2028780138,1,1140300,1760-1770 LLC,73,1928,1,1760 Montgomery Avenue
,3464702,36005020502,University Heights/Fordham,City Council District 16,BX 05 - Fordham/University Heights,Bronx,New York City,2028810015,1,611550,CEDAR TREMONT LIMITED,18,1908,1,264 West Tremont Avenue
,3464713,36005024700,University Heights/Fordham,City Council District 16,BX 05 - Fordham/University Heights,Bronx,New York City,2028820216,,7150050,ROBERTO CLEMENTE STAT,,1974,1,West 176 Street
1,3464714,36005005300,University Heights/Fordham,City Council District 16,BX 05 - Fordham/University Heights,Bronx,New York City,2028820229,1,43344450,RIVER PARK RESIDENCES,8270,1973,6,16 Richman Plaza
,3464751,36005021501,University Heights/Fordham,City Council District 14,BX 05 - Fordham/University Heights,Bronx,New York City,2028780132,,1235250,MONTGOMERY REALTY ASS,66,1927,1,1750 Montgomery Avenue
,3464789,36005020502,University Heights/Fordham,City Council District 14,BX 05 - Fordham/University Heights,Bronx,New York City,2028770497,,1893150,NYC HOUSING AUTHORITY,148,1973,1,228 West Tremont Avenue
,3464812,36005021502,University Heights/Fordham,City Council District 14,BX 05 - Fordham/University Heights,Bronx,New York City,2028760025,1,345150,ARISTA UAC PROPERTIES,26,1924,1,74 West 174 Street
,3464813,36005017902,Highbridge/South Concourse,City Council District 16,BX 04 - Highbridge/Concourse,Bronx,New York City,2028300021,1,857250,1348 LLC,35,1915,1,1346 Sheridan Avenue
,3464824,36005021502,University Heights/Fordham,City Council District 14,BX 05 - Fordham/University Heights,Bronx,New York City,2028660091,,1215450,MACOMB VILLAGE ASSOC,54,1927,1,57 West 175 Street
,3464840,36005017702,Highbridge/South Concourse,City Council District 16,BX 04 - Highbridge/Concourse,Bronx,New York City,2027850050,,284400,HPD,21,1924,1,1365 College Avenue
,3464852,36005015900,Mott Haven/Hunts Point,City Council District 17,BX 02 - Hunts Point/Longwood,Bronx,New York City,2027140064,,425700,PRC SIMPSON STREET LL,20,1928,1,979 East 163 Street
,3464863,36005008900,Mott Haven/Hunts Point,City Council District 17,BX 02 - Hunts Point/Longwood,Bronx,New York City,2027210001,,296100,FOX STREET HOUSING DE,19,1931,1,800 Fox Street
,3464864,36005008700,Mott Haven/Hunts Point,City Council District 17,BX 02 - Hunts Point/Longwood,Bronx,New York City,2027090007,1,181759,818-862 BECK ST. ASSO,9,1907,1,826 Beck Street
,3464868,36005008900,Mott Haven/Hunts Point,City Council District 17,BX 02 - Hunts Point/Longwood,Bronx,New York City,2027220001,1,222300,854 INTERVALE AVE HDF,17,1931,1,854 Intervale Avenue
,3464892,36005008500,Mott Haven/Hunts Point,City Council District 8,BX 02 - Hunts Point/Longwood,Bronx,New York City,2027200093,1,1489050,LONGWOOD RESIDENCES H,50,1922,1,755 Southern Boulevard
,3464893,36005008500,Mott Haven/Hunts Point,City Council District 8,BX 02 - Hunts Point/Longwood,Bronx,New York City,2027200069,1,973800,788 FOX STREET HOUSIN,49,1922,1,788 Fox Street
,3464894,36005008700,Mott Haven/Hunts Point,City Council District 17,BX 02 - Hunts Point/Longwood,Bronx,New York City,2027090017,,183280,818-862 BECK ST. ASSO,9,1907,1,854 Beck Street
,3464898,36005008700,Mott Haven/Hunts Point,City Council District 17,BX 02 - Hunts Point/Longwood,Bronx,New York City,2027090009,,286200,818-862 BECK ST. ASSO,12,1907,1,834 Beck Street
,3464907,36005008900,Mott Haven/Hunts Point,City Council District 17,BX 02 - Hunts Point/Longwood,Bronx,New York City,2027230025,1,203400,ROSINA ASSOCIATES L.P,21,1925,1,934 Barretto Street
,3464911,36005015900,Mott Haven/Hunts Point,City Council District 17,BX 02 - Hunts Point/Longwood,Bronx,New York City,2027140001,,489150,PRC SIMPSON STREET LL,22,1911,1,944 Tiffany Street
,3464919,36005008500,Mott Haven/Hunts Point,City Council District 8,BX 02 - Hunts Point/Longwood,Bronx,New York City,2027200057,,1095300,"SOUTHERN BLVD I, L.P.",34,1924,1,774 Fox Street
1,3464920,36005008700,Mott Haven/Hunts Point,City Council District 17,BX 02 - Hunts Point/Longwood,Bronx,New York City,2027110010,1,87920,KELLY STREET REDEVELO,9,1907,1,928 Kelly Street
,3464924,36005022102,Highbridge/South Concourse,City Council District 16,BX 04 - Highbridge/Concourse,Bronx,New York City,2028390057,1,1381500,1299 THE BEAR LLC,66,1922,1,1299 Grand Concourse
,3464934,36005021502,University Heights/Fordham,City Council District 14,BX 05 - Fordham/University Heights,Bronx,New York City,2028660074,,121500,SERE HOUSING DEVELOPM,12,1920,1,62 West 176 Street
,3464939,36005017902,Highbridge/South Concourse,City Council District 16,BX 04 - Highbridge/Concourse,Bronx,New York City,2028300013,,685350,ZEVRONE REALTY CORP,55,1926,1,1320 Sheridan Avenue
,3464946,36005022300,Highbridge/South Concourse,City Council District 14,BX 04 - Highbridge/Concourse,Bronx,New York City,2028440021,1,1303650,"CRENULATED COMPANY,LT",106,1927,2,1465 Townsend Avenue
,3464952,36005022701,University Heights/Fordham,City Council District 14,BX 05 - Fordham/University Heights,Bronx,New York City,2028480020,,607050,12 CLIFFORD LLC,27,1927,1,12 Clifford Place
,3464954,36005020900,Highbridge/South Concourse,City Council District 14,BX 04 - Highbridge/Concourse,Bronx,New York City,2028450070,,726750,CRENULATED COMPANY LT,54,1928,1,1525 Walton Avenue
,3464958,36005021700,University Heights/Fordham,City Council District 14,BX 05 - Fordham/University Heights,Bronx,New York City,2028610119,,555300,HP DAVIDSON CLUSTER H,42,1928,1,1780 Davidson Avenue
,3464960,36005022703,University Heights/Fordham,City Council District 15,BX 04 - Highbridge/Concourse,Bronx,New York City,2028230062,1,241200,1685 S LLC,22,1936,1,1685 Selwyn Avenue
,3464961,36005017702,Highbridge/South Concourse,City Council District 16,BX 04 - Highbridge/Concourse,Bronx,New York City,2027830042,,601650,ZEVRONE REALTY CORP,33,1924,1,1365 Findlay Avenue
,3464965,36005020900,Highbridge/South Concourse,City Council District 14,BX 04 - Highbridge/Concourse,Bronx,New York City,2028450007,1,1255050,THE CRENULATED COMPAN,105,1926,2,1512 Townsend Avenue
,3464966,36005023301,University Heights/Fordham,City Council District 14,BX 05 - Fordham/University Heights,Bronx,New York City,2028520021,1,329400,BUILD-MT. HOPE HSNGDE,31,1922,1,1895 Walton Avenue
,3464970,36005021502,University Heights/Fordham,City Council District 14,BX 05 - Fordham/University Heights,Bronx,New York City,2028760174,,319500,1706 RLTY LLC,33,1917,1,1706 Nelson Avenue
,3464971,36005022701,University Heights/Fordham,City Council District 14,BX 05 - Fordham/University Heights,Bronx,New York City,2028490064,1,386550,TOWNSEND AVE ENTERPRI,26,1926,1,1734 Townsend Avenue
,3464978,36005021502,University Heights/Fordham,City Council District 14,BX 05 - Fordham/University Heights,Bronx,New York City,2028660080,1,3397500,MORRIS HEIGHTS HOUSIN,111,1927,1,1695 Grand Avenue
,3464992,36005017702,Highbridge/South Concourse,City Council District 16,BX 04 - Highbridge/Concourse,Bronx,New York City,2027830030,1,355500,1374 COLLEGE AVE HOUS,26,1915,1,1374 College Avenue
,3464994,36005022902,University Heights/Fordham,City Council District 15,BX 04 - Highbridge/Concourse,Bronx,New York City,2027940015,1,812700,OLR ECW HOUSING DEVEL,43,1928,1,1663 Eastburn Avenue
,3465000,36005022701,University Heights/Fordham,City Council District 14,BX 05 - Fordham/University Heights,Bronx,New York City,2028260054,,1306800,DENPAT ASSOCIATES LLC,66,1935,1,1791 Grand Concourse
,3465001,36005021700,University Heights/Fordham,City Council District 14,BX 05 - Fordham/University Heights,Bronx,New York City,2028610021,1,919350,TPT DAVIDSON AVENUE L,42,1927,1,1694 Davidson Avenue
,3465007,36005022500,Highbridge/South Concourse,City Council District 14,BX 04 - Highbridge/Concourse,Bronx,New York City,2028320008,1,1492650,GRAND CONCOURE ESTATE,138,1925,1,1420 Grand Concourse
,3465024,36005022500,Highbridge/South Concourse,City Council District 16,BX 04 - Highbridge/Concourse,Bronx,New York City,2027860012,,567450,JEMP OWNERS LLC,21,2011,1,1434 Morris Avenue
,3465027,36005017902,Highbridge/South Concourse,City Council District 16,BX 04 - Highbridge/Concourse,Bronx,New York City,2028317501,,171162,,74,2014,1,201 Marcy Place
,3465079,36005024300,University Heights/Fordham,City Council District 14,BX 05 - Fordham/University Heights,Bronx,New York City,2028690163,,1791450,"TARGET V, L.P.",44,1925,1,1971 Grand Avenue
,3465083,36005024300,University Heights/Fordham,City Council District 14,BX 05 - Fordham/University Heights,Bronx,New York City,2028690034,,550350,RECLAIM ROUND II HOUS,50,1926,2,45 West Tremont Avenue
1,3465092,36005021700,University Heights/Fordham,City Council District 14,BX 05 - Fordham/University Heights,Bronx,New York City,2028670134,1,367200,DAVIDSON AVE SIP HSNG,55,1923,1,1821 Davidson Avenue
,3465093,36005025100,University Heights/Fordham,City Council District 14,BX 05 - Fordham/University Heights,Bronx,New York City,2032060022,1,562950,56-58 WEST 180 STREET,52,1924,1,2081 Grand Avenue
,3465103,36005024300,University Heights/Fordham,City Council District 14,BX 05 - Fordham/University Heights,Bronx,New York City,2028700020,1,542700,2020 GRAND REALTY LLC,55,1925,1,2020 Grand Avenue
,3465125,36005024501,University Heights/Fordham,City Council District 14,BX 05 - Fordham/University Heights,Bronx,New York City,2028790030,,1372050,NYC HOUSING AUTHORITY,72,1924,1,1925 University Avenue
,3465128,36005024300,University Heights/Fordham,City Council District 14,BX 05 - Fordham/University Heights,Bronx,New York City,2028690122,,463050,NYC HOUSING AUTHORITY,25,1924,1,1934 Harrison Avenue
,3465132,36005024900,University Heights/Fordham,City Council District 14,BX 05 - Fordham/University Heights,Bronx,New York City,2032220062,,57265650,SCHOOL CONSTRUCTION A,,1930,26,1930 Sedgwick Avenue
,3465134,36005024300,University Heights/Fordham,City Council District 14,BX 05 - Fordham/University Heights,Bronx,New York City,2028690171,1,1034100,SENIOR LIVING OPTIONS,84,2005,1,31 West Tremont Avenue
,3465136,36005024502,University Heights/Fordham,City Council District 14,BX 05 - Fordham/University Heights,Bronx,New York City,2032210015,1,113400,BILIG REALTY CORP,11,1915,1,1924 Loring Place South
,3465139,36005024300,University Heights/Fordham,City Council District 14,BX 05 - Fordham/University Heights,Bronx,New York City,2028680144,,879750,NYC HOUSING AUTHORITY,48,1923,1,1925 Harrison Avenue
,3465164,36005019900,Highbridge/South Concourse,City Council District 16,BX 04 - Highbridge/Concourse,Bronx,New York City,2025167501,,718648,,28,2005,1,1209 Nelson Avenue
,3465168,36005021501,University Heights/Fordham,City Council District 14,BX 05 - Fordham/University Heights,Bronx,New York City,2028780097,,515250,"116 WESTCO, L.L.C.",25,1924,1,116 West 176 Street
,3465170,36005020100,Highbridge/South Concourse,City Council District 16,BX 04 - Highbridge/Concourse,Bronx,New York City,2025360026,1,308250,HIGHBRIDGE COMMUNITY,27,1917,1,1435 Ogden Avenue
,3465172,36005021302,Highbridge/South Concourse,City Council District 16,BX 04 - Highbridge/Concourse,Bronx,New York City,2028720207,1,945000,JESUP AVE PARTNERS LL,55,1926,1,1465 Jesup Avenue
,3465175,36005020100,Highbridge/South Concourse,City Council District 16,BX 04 - Highbridge/Concourse,Bronx,New York City,2025360001,,492300,HIGHBRIDGE COM HSNGET,39,1922,1,1406 Merriam Avenue
,3465188,36005020100,Highbridge/South Concourse,City Council District 16,BX 04 - Highbridge/Concourse,Bronx,New York City,2025340008,1,2923650,WFHA KING BOULEVARD L,140,1967,1,1380 University Avenue
,3465191,36005020501,University Heights/Fordham,City Council District 16,BX 05 - Fordham/University Heights,Bronx,New York City,2028770261,1,2375550,TYLERS DIMES LLC,81,2013,1,1650 Undercliff Avenue
,3465205,36005019900,Highbridge/South Concourse,City Council District 16,BX 04 - Highbridge/Concourse,Bronx,New York City,2025100040,1,2490300,ANDERSON HSNG ASSOC,129,1929,3,1187 Anderson Avenue
,3465206,36005021302,Highbridge/South Concourse,City Council District 16,BX 04 - Highbridge/Concourse,Bronx,New York City,2028720108,,342900,NOSOTROS HOUSING DEVE,37,1923,1,1444 Shakespeare Avenue
,3465208,36005021502,University Heights/Fordham,City Council District 14,BX 05 - Fordham/University Heights,Bronx,New York City,2028760100,1,348750,BEULAH XV PORTFOLIO H,22,1911,1,1700 University Avenue
,3465221,36005020100,Highbridge/South Concourse,City Council District 16,BX 04 - Highbridge/Concourse,Bronx,New York City,2025310005,1,1365300,MERRIAM AVENUE ASSOCI,98,2001,1,1314 Merriam Avenue
,3465228,36005021302,Highbridge/South Concourse,City Council District 16,BX 04 - Highbridge/Concourse,Bronx,New York City,2028720205,1,514800,HIGHBRIDGE COMMUNITYE,30,1926,1,1455 Jesup Avenue
,3465236,36005021502,University Heights/Fordham,City Council District 14,BX 05 - Fordham/University Heights,Bronx,New York City,2028760088,1,464400,G&M PROPERTIES II HOU,25,1915,1,1640 University Avenue
1,3465239,36005021100,Highbridge/South Concourse,City Council District 16,BX 04 - Highbridge/Concourse,Bronx,New York City,2025180031,,976050,NELSON AVENUE LIMITED,82,2001,2,1265 Nelson Avenue
,3465241,36005020501,University Heights/Fordham,City Council District 16,BX 05 - Fordham/University Heights,Bronx,New York City,2028800135,1,1288800,UNDERCLIFF REALTY COR,114,1932,1,1571 Undercliff Avenue
,3465248,36005021502,University Heights/Fordham,City Council District 14,BX 05 - Fordham/University Heights,Bronx,New York City,2028660045,1,265050,MORRIS HEIGHTS HOUSIN,22,1923,1,44 West 175 Street
,3465262,36005021502,University Heights/Fordham,City Council District 14,BX 05 - Fordham/University Heights,Bronx,New York City,2028760095,1,240300,BEULAH XV PORTFOLIO H,21,1915,1,1658 University Avenue
,3465264,36005022300,Highbridge/South Concourse,City Council District 14,BX 04 - Highbridge/Concourse,Bronx,New York City,2028440075,,1742850,WALTON AVE ASSOCIATES,79,1928,1,1454 Walton Avenue
,3465266,36005022701,University Heights/Fordham,City Council District 14,BX 05 - Fordham/University Heights,Bronx,New York City,2028260002,1,1212750,HPDC2 HOUSING DEVELOP,70,2008,1,1752 Walton Avenue
1,3465278,36005022500,Highbridge/South Concourse,City Council District 14,BX 04 - Highbridge/Concourse,Bronx,New York City,2028320015,,852750,SHERIDAN HILL HOUSECO,,1999,1,1413 Sheridan Avenue
,3465279,36005020900,Highbridge/South Concourse,City Council District 14,BX 04 - Highbridge/Concourse,Bronx,New York City,2028590001,1,473850,NEWSET II HOUSING DEV,33,1928,1,1484 Inwood Avenue
,3465280,36005021700,University Heights/Fordham,City Council District 14,BX 05 - Fordham/University Heights,Bronx,New York City,2028610050,1,397350,TPT DAVIDSON AVENUE L,28,1927,1,1702 Davidson Avenue
,3465287,36005024300,University Heights/Fordham,City Council District 14,BX 05 - Fordham/University Heights,Bronx,New York City,2028680127,,92250,"UNIVERSITY AVENUE, L.",11,1914,1,1978 University Avenue
,3465296,36005024502,University Heights/Fordham,City Council District 14,BX 05 - Fordham/University Heights,Bronx,New York City,2032160026,1,3419550,SYDNEY ENGEL ASSOCIAT,255,1926,1,243 West 179 Street
,3465321,36005024502,University Heights/Fordham,City Council District 14,BX 05 - Fordham/University Heights,Bronx,New York City,2032280005,1,1023750,HENNESSEY REALTY LLC,35,1925,1,183 West Burnside Avenue
,3465325,36005024501,University Heights/Fordham,City Council District 14,BX 05 - Fordham/University Heights,Bronx,New York City,2028790204,,903600,BURNSIDE MEWS ASSOCIA,64,1924,1,1893 Andrews Avenue South
,3465327,36005025100,University Heights/Fordham,City Council District 14,BX 05 - Fordham/University Heights,Bronx,New York City,2031930001,1,827100,RECLAIM HOUSING DEVEL,50,1923,1,2042 Grand Avenue
,3465349,36005025700,University Heights/Fordham,City Council District 14,BX 07 - Kingsbridge Heights/Bedford,Bronx,New York City,2032340037,,1074150,UNIVERSITY HOUSING AS,61,1924,1,2251 Sedgwick Avenue
,3465360,36005024501,University Heights/Fordham,City Council District 14,BX 05 - Fordham/University Heights,Bronx,New York City,2028790045,1,1004850,UNIVERSAL HEIGHTS 18,64,1924,1,1841 University Avenue
,3465365,36005021501,University Heights/Fordham,City Council District 14,BX 05 - Fordham/University Heights,Bronx,New York City,2028780190,1,1409400,ANDREWS PLAZA HOUSING,67,1927,1,1760 Andrews Avenue South
,3465369,36005024300,University Heights/Fordham,City Council District 14,BX 05 - Fordham/University Heights,Bronx,New York City,2028690087,1,1062900,UHAB HOUSING DEVELOPM,54,1926,1,1898 Harrison Avenue
,3465378,36005024300,University Heights/Fordham,City Council District 14,BX 05 - Fordham/University Heights,Bronx,New York City,2028630009,,361350,1988 DAVIDSON LLC,16,1925,1,1996 Davidson Avenue
,3465392,36005024501,University Heights/Fordham,City Council District 14,BX 05 - Fordham/University Heights,Bronx,New York City,2028790263,1,325800,BILLINGSLEY TERRACEHS,27,1926,1,1898 Billingsley Terrace
,3465405,36005024501,University Heights/Fordham,City Council District 14,BX 05 - Fordham/University Heights,Bronx,New York City,2028790028,1,580050,1890 ANDREWS AVENUE H,56,1924,2,1890 Andrews Avenue South
,3465421,36005024501,University Heights/Fordham,City Council District 14,BX 05 - Fordham/University Heights,Bronx,New York City,2028790075,1,742950,ANDREWS PLAZA HOUSING,43,1927,1,1820 Phelan Place
,3465423,36005024502,University Heights/Fordham,City Council District 14,BX 05 - Fordham/University Heights,Bronx,New York City,2032280001,1,1192950,LORING PLACE REALTY L,63,1925,1,171 West Burnside Avenue
,3465427,36005024501,University Heights/Fordham,City Council District 14,BX 05 - Fordham/University Heights,Bronx,New York City,2028790080,,529650,GIO-GJO REALTY LLC,60,1926,1,1834 Phelan Place
,3465448,36005024300,University Heights/Fordham,City Council District 14,BX 05 - Fordham/University Heights,Bronx,New York City,2028700040,,771300,LANDMINE LLC,45,1924,1,2007 Davidson Avenue
,3465479,36005024501,University Heights/Fordham,City Council District 14,BX 05 - Fordham/University Heights,Bronx,New York City,2028790043,,948600,NYC HOUSING AUTHORITY,58,1924,1,1865 University Avenue
,3465499,36005007500,Mott Haven/Hunts Point,City Council District 17,BX 01 - Mott Haven/Melrose,Bronx,New York City,2026360038,,194688,QUADRANT PROPERTIES H,10,1906,1,751 Jackson Avenue
1,3465515,36005007900,Mott Haven/Hunts Point,City Council District 17,BX 01 - Mott Haven/Melrose,Bronx,New York City,2026760065,,80550,"UNION AVENUE CLUSTER,",11,1903,1,791 Prospect Avenue
,3465539,36005025700,University Heights/Fordham,City Council District 14,BX 07 - Kingsbridge Heights/Bedford,Bronx,New York City,2032340011,,974700,HAMPDEN REALTY LLC,51,1926,1,2269 Hampden Place
,3465541,36005024300,University Heights/Fordham,City Council District 14,BX 05 - Fordham/University Heights,Bronx,New York City,2028690005,,260550,LEMLE REALTY CORP.,21,1916,1,1812 Harrison Avenue
,3465549,36005024300,University Heights/Fordham,City Council District 14,BX 05 - Fordham/University Heights,Bronx,New York City,2028630007,,388350,1988 DAVIDSON LLC,16,1925,1,1988 Davidson Avenue
,3465553,36005024501,University Heights/Fordham,City Council District 14,BX 05 - Fordham/University Heights,Bronx,New York City,2028790033,,765450,NYC HOUSING AUTHORITY,47,1924,1,1895 University Avenue
,3465554,36005025700,University Heights/Fordham,City Council District 14,BX 07 - Kingsbridge Heights/Bedford,Bronx,New York City,2032340006,,1489050,HAMPDEN REALTY LLC,62,1927,1,2254 Cedar Avenue
,3465556,36005024501,University Heights/Fordham,City Council District 14,BX 05 - Fordham/University Heights,Bronx,New York City,2028790170,1,1669050,190 WEST BURNSIDE LLC,70,1927,1,184 West Burnside Avenue
,3465559,36005024501,University Heights/Fordham,City Council District 14,BX 05 - Fordham/University Heights,Bronx,New York City,2028790200,,993150,WEST SIDE BRONX LLC,55,1924,1,1874 Loring Place South
,3465561,36005025100,University Heights/Fordham,City Council District 14,BX 05 - Fordham/University Heights,Bronx,New York City,2032100080,1,780750,2114 AQUEDUCT REALTY,72,1924,2,2114 Aqueduct Avenue East
,3465584,36005024501,University Heights/Fordham,City Council District 14,BX 05 - Fordham/University Heights,Bronx,New York City,2028790192,1,1094850,150 WEST BURNSIDE LLC,63,1923,1,150 West Burnside Avenue
,3465633,36005024300,University Heights/Fordham,City Council District 14,BX 05 - Fordham/University Heights,Bronx,New York City,2028690047,,625950,JERICHO-WEST TREMONT,80,2003,1,89 West Tremont Avenue
,3465655,36005025500,Kingsbridge Heights/Mosholu,City Council District 14,BX 07 - Kingsbridge Heights/Bedford,Bronx,New York City,2032250083,1,191724,"2261 LORING PLACE, LL",7,2012,1,2261 Loring Place North
,3465656,36005024300,University Heights/Fordham,City Council District 14,BX 05 - Fordham/University Heights,Bronx,New York City,2028690077,,1136250,NYC HOUSING AUTHORITY,52,1926,1,1886 Harrison Avenue
,3465680,36005024502,University Heights/Fordham,City Council District 14,BX 05 - Fordham/University Heights,Bronx,New York City,2032160052,1,607500,"UNIVERSITY AVENUE, L.",78,1923,1,2001 University Avenue
,3465685,36005024300,University Heights/Fordham,City Council District 14,BX 05 - Fordham/University Heights,Bronx,New York City,2028690159,,1389600,"TARGET V, L.P.",48,1920,1,1975 Grand Avenue
,3465717,36005007700,Mott Haven/Hunts Point,City Council District 17,BX 01 - Mott Haven/Melrose,Bronx,New York City,2026770019,,581400,824-834 E 161ST HSNGE,22,1906,1,834 East 161 Street
