tax_delinquency,cartodb_id,tract_10,sba_name,ccd_name,cd_name,boro_name,city_name,bbl,ser_violation,assessed_value,owner_name,res_units,year_built,buildings,standard_address
,3408839,36085021300,North Shore,City Council District 49,SI 01 - St. George/Stapleton,Staten Island,New York City,5011170037,,426600,BRIDGEVIEW APARTMENTS,38,1993,2,150 Nicholas Avenue
,3414322,36085020700,North Shore,City Council District 49,SI 01 - St. George/Stapleton,Staten Island,New York City,5010080040,,303264,ZUPA HOLDING LLC,6,2005,2,1924 Richmond Terrace
,3414603,36085014100,North Shore,City Council District 49,SI 01 - St. George/Stapleton,Staten Island,New York City,5002307502,,557932,,84,1990,3,490 Clove Road
1,3414662,36085020700,North Shore,City Council District 49,SI 01 - St. George/Stapleton,Staten Island,New York City,5010200020,,685350,PARKSIDE HOUSING DEVE,43,1920,1,160 Heberton Avenue
,3414697,36085020700,North Shore,City Council District 49,SI 01 - St. George/Stapleton,Staten Island,New York City,5010030014,,960750,BUCKINGHAM HOUSE LTD,17,1931,1,2044 Richmond Terrace
,3415184,36085020700,North Shore,City Council District 49,SI 01 - St. George/Stapleton,Staten Island,New York City,5010737501,,315281,,6,2007,1,1C Maple Avenue
,3415870,36085013301,North Shore,City Council District 49,SI 01 - St. George/Stapleton,Staten Island,New York City,5001960001,,8025750,NYC HOUSING AUTHORITY,634,1962,17,159 Alaska Street
,3423821,36085011401,Mid-Island,City Council District 50,SI 02 - South Beach/Willowbrook,Staten Island,New York City,5035320500,,6968700,NYC HOUSING AUTHORITY,506,1960,10,1700 Richmond Road
1,3430551,36085009601,Mid-Island,City Council District 50,SI 02 - South Beach/Willowbrook,Staten Island,New York City,5033070025,,2522700,NYC HOUSING DEVELOPME,100,1983,11,2 Carmel Court
,3431912,36085006400,Mid-Island,City Council District 50,SI 02 - South Beach/Willowbrook,Staten Island,New York City,5032430100,,6046650,NYC HOUSING AUTHORITY,422,1950,8,150 Parkinson Avenue
,3433594,36085007400,Mid-Island,City Council District 50,SI 02 - South Beach/Willowbrook,Staten Island,New York City,5031250116,,12078000,CONCORD SEASIDE HOUSI,273,1971,2,20 Fr Capodanno Blvd
,3438439,36085005000,Mid-Island,City Council District 50,SI 02 - South Beach/Willowbrook,Staten Island,New York City,5031570001,,2821500,ELBEE GARDENS HOUSING,177,1973,1,1950 Clove Road
,3439125,36085004700,North Shore,City Council District 49,SI 01 - St. George/Stapleton,Staten Island,New York City,5006310071,,5463450,"SZR US INVESTMENTS, I",79,2005,1,801 Narrows Road North
