short_name,long_name,Sub-Borough Area,2000,2005-2009,2006-2010,2007-2011,2008-2012,2009-2013,2010-2014,2011-2015,2012-2016
rent_burden_sev_pct,Severely rent-burdened households,Stuyvesant Town/Turtle Bay,0.180739729072229,0.181054512957998,0.193985645498319,0.198648549123582,0.202337011963276,0.208442924776433,0.199590909943891,0.207402194792598,0.203530355710083
rent_burden_sev_pct,Severely rent-burdened households,Upper West Side,0.165540118528952,0.196178937558248,0.201472494906464,0.208995806258353,0.203574001134117,0.20756593773799,0.204698778128981,0.197973573878796,0.19859854676096
rent_burden_sev_pct,Severely rent-burdened households,Upper East Side,0.173105742167536,0.17798123263213,0.19269687028501,0.200114175914452,0.193428968070338,0.203252918499952,0.197571146191546,0.193582756218498,0.194873340548835
rent_burden_sev_pct,Severely rent-burdened households,Morningside Heights/Hamilton Heights,0.240024290882502,0.280033817874383,0.296091022942258,0.295304524439456,0.310511573829405,0.305865621981324,0.311460855528652,0.30692349137931,0.305728013820655
rent_burden_sev_pct,Severely rent-burdened households,South Crown Heights,0.251930045687914,0.286960644855382,0.299896555920652,0.311899056689618,0.329703181721119,0.32370121799652,0.333823890115281,0.341830892545049,0.331269908047359
rent_burden_sev_pct,Severely rent-burdened households,Bay Ridge,0.211857757130929,0.243898118955684,0.258320568165994,0.268454051058229,0.282253054462622,0.295085943997782,0.313559901531729,0.303926388986444,0.305754747576664
rent_burden_sev_pct,Severely rent-burdened households,Bensonhurst,0.309204603516264,0.304821780308141,0.305196598188646,0.302686289528395,0.296169519152404,0.293507543103448,0.315803452855246,0.317152524726705,0.316996088386913
rent_burden_sev_pct,Severely rent-burdened households,Borough Park,0.349596283940627,0.380177857119244,0.390802761089096,0.423657034889403,0.430221750099588,0.443546784981127,0.452606555730405,0.452311452039916,0.448072531442789
rent_burden_sev_pct,Severely rent-burdened households,Coney Island,0.295518001468736,0.267722473604827,0.270402664837856,0.277511961722488,0.289889630739883,0.319483264026178,0.326909252729949,0.311589104432606,0.300306707561008
rent_burden_sev_pct,Severely rent-burdened households,Flatbush,0.281551116331684,0.299483819733969,0.296627886956736,0.31016236590316,0.328306721860832,0.333950023434224,0.336266212749634,0.34651069926949,0.347878558413592
rent_burden_sev_pct,Severely rent-burdened households,Greenwich Village/Financial District,0.192894234518462,0.208607615198383,0.219753086419753,0.213275787993595,0.210618616303719,0.20877358490566,0.197415066469719,0.198521332662905,0.194014216236438
rent_burden_sev_pct,Severely rent-burdened households,Lower East Side/Chinatown,0.198674033148563,0.239807870565434,0.242512598385384,0.24598471329001,0.243259095403281,0.247806177670469,0.237691909320236,0.238903159306948,0.234179185164556
rent_burden_sev_pct,Severely rent-burdened households,Chelsea/Clinton/Midtown,0.184446074834341,0.191815768607577,0.199465921550596,0.198246375553433,0.206742106781128,0.207344213649852,0.206376251249201,0.20872164020824,0.208847720194841
rent_burden_sev_pct,Severely rent-burdened households,Central Harlem,0.241432029557473,0.2529606472968,0.240628549791746,0.245493642922611,0.243993255585219,0.253405477241445,0.265880901802234,0.266244916403073,0.255848050649783
rent_burden_sev_pct,Severely rent-burdened households,East Harlem,0.20306646687277,0.193118234586623,0.197934211829981,0.204214417744917,0.212383505053237,0.230507201001879,0.248766497338551,0.242915850336885,0.234061073730767
rent_burden_sev_pct,Severely rent-burdened households,Washington Heights/Inwood,0.256874315608002,0.305293420176393,0.302232059355321,0.29894819466248,0.306078283778698,0.322753260817633,0.318943983013801,0.317868222438302,0.322650231124807
rent_burden_sev_pct,Severely rent-burdened households,Mott Haven/Hunts Point,0.248118660703767,0.324130273871207,0.321677475558997,0.317441144427076,0.325045355165837,0.311041344444701,0.319930509520653,0.317747702892319,0.321095558002112
rent_burden_sev_pct,Severely rent-burdened households,Morrisania/Belmont,0.305309958064754,0.352191525192299,0.358272775611485,0.361099532720532,0.377858728687518,0.368331526014756,0.370543639439444,0.363645641967749,0.36064
rent_burden_sev_pct,Severely rent-burdened households,Highbridge/South Concourse,0.31854860115709,0.367056380848802,0.357852740216924,0.372442019099591,0.372284483784234,0.373257318066402,0.400502477165465,0.417437438377389,0.400143761448744
rent_burden_sev_pct,Severely rent-burdened households,University Heights/Fordham,0.334174793399143,0.356201480411627,0.356254388604675,0.356915961474931,0.384179930444495,0.396771687094268,0.415410218833056,0.424736337488015,0.427163781624501
rent_burden_sev_pct,Severely rent-burdened households,Kingsbridge Heights/Mosholu,0.308314516820246,0.360235648429451,0.384825988522087,0.38424284126396,0.39042216358839,0.388727605596966,0.389305527018697,0.383028218873268,0.375220622964675
rent_burden_sev_pct,Severely rent-burdened households,Riverdale/Kingsbridge,0.215680444047393,0.253605259437297,0.250413104389683,0.258537828588073,0.26222917132008,0.271602602905569,0.283965230257074,0.282335085511216,0.285140707516458
rent_burden_sev_pct,Severely rent-burdened households,Soundview/Parkchester,0.256910708911164,0.279964240420799,0.272630768270091,0.284714045416316,0.29475663254648,0.316583437369954,0.328794059198829,0.339994576440894,0.344894504314794
rent_burden_sev_pct,Severely rent-burdened households,Throgs Neck/Co-op City,0.188001002003148,0.239295326645461,0.236884091975598,0.233103696699536,0.260706824512535,0.256096566348585,0.242463192334658,0.258721389108129,0.245315365600829
rent_burden_sev_pct,Severely rent-burdened households,Pelham Parkway,0.232654661916968,0.291352877891339,0.293811591206671,0.306936750161438,0.30839621675146,0.305149417524903,0.307767415238544,0.318785830268085,0.307512754676715
